[2026-03-31T15:42:22.146+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-31T15:42:22.203+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pokemon_etl_pipeline.run_pokemon_etl scheduled__2026-03-30T00:00:00+00:00 [queued]>
[2026-03-31T15:42:22.215+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pokemon_etl_pipeline.run_pokemon_etl scheduled__2026-03-30T00:00:00+00:00 [queued]>
[2026-03-31T15:42:22.218+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-03-31T15:42:22.235+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): run_pokemon_etl> on 2026-03-30 00:00:00+00:00
[2026-03-31T15:42:22.243+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pokemon_etl_pipeline', 'run_pokemon_etl', 'scheduled__2026-03-30T00:00:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/pokemon_pipeline.py', '--cfg-path', '/tmp/tmp5l4ermqb']
[2026-03-31T15:42:22.245+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=237) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-31T15:42:22.248+0000] {standard_task_runner.py:91} INFO - Job 2: Subtask run_pokemon_etl
[2026-03-31T15:42:22.250+0000] {standard_task_runner.py:64} INFO - Started process 238 to run task
[2026-03-31T15:42:22.391+0000] {task_command.py:426} INFO - Running <TaskInstance: pokemon_etl_pipeline.run_pokemon_etl scheduled__2026-03-30T00:00:00+00:00 [running]> on host d261446516ff
[2026-03-31T15:42:22.481+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pokemon_etl_pipeline' AIRFLOW_CTX_TASK_ID='run_pokemon_etl' AIRFLOW_CTX_EXECUTION_DATE='2026-03-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-30T00:00:00+00:00'
[2026-03-31T15:42:22.483+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-31T15:42:22.521+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-31T15:42:22.523+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/etl/main.py']
[2026-03-31T15:42:22.534+0000] {subprocess.py:86} INFO - Output:
[2026-03-31T15:42:23.662+0000] {subprocess.py:93} INFO - INFO:root:Fetching page with offset 0
[2026-03-31T15:42:23.810+0000] {subprocess.py:93} INFO - INFO:root:Fetching bulbasaur from https://pokeapi.co/api/v2/pokemon/1/
[2026-03-31T15:42:23.811+0000] {subprocess.py:93} INFO - INFO:root:Fetching ivysaur from https://pokeapi.co/api/v2/pokemon/2/
[2026-03-31T15:42:23.812+0000] {subprocess.py:93} INFO - INFO:root:Fetching venusaur from https://pokeapi.co/api/v2/pokemon/3/
[2026-03-31T15:42:23.813+0000] {subprocess.py:93} INFO - INFO:root:Fetching charmander from https://pokeapi.co/api/v2/pokemon/4/
[2026-03-31T15:42:23.814+0000] {subprocess.py:93} INFO - INFO:root:Fetching charmeleon from https://pokeapi.co/api/v2/pokemon/5/
[2026-03-31T15:42:23.815+0000] {subprocess.py:93} INFO - INFO:root:Fetching charizard from https://pokeapi.co/api/v2/pokemon/6/
[2026-03-31T15:42:23.818+0000] {subprocess.py:93} INFO - INFO:root:Fetching squirtle from https://pokeapi.co/api/v2/pokemon/7/
[2026-03-31T15:42:23.819+0000] {subprocess.py:93} INFO - INFO:root:Fetching wartortle from https://pokeapi.co/api/v2/pokemon/8/
[2026-03-31T15:42:23.821+0000] {subprocess.py:93} INFO - INFO:root:Fetching blastoise from https://pokeapi.co/api/v2/pokemon/9/
[2026-03-31T15:42:23.824+0000] {subprocess.py:93} INFO - INFO:root:Fetching caterpie from https://pokeapi.co/api/v2/pokemon/10/
[2026-03-31T15:42:23.955+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.960+0000] {subprocess.py:93} INFO - INFO:root:Fetching metapod from https://pokeapi.co/api/v2/pokemon/11/
[2026-03-31T15:42:23.966+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.970+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.973+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.976+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.982+0000] {subprocess.py:93} INFO - INFO:root:Fetching butterfree from https://pokeapi.co/api/v2/pokemon/12/
[2026-03-31T15:42:23.985+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.990+0000] {subprocess.py:93} INFO - INFO:root:Fetching weedle from https://pokeapi.co/api/v2/pokemon/13/
[2026-03-31T15:42:23.991+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:23.996+0000] {subprocess.py:93} INFO - INFO:root:Fetching kakuna from https://pokeapi.co/api/v2/pokemon/14/
[2026-03-31T15:42:23.998+0000] {subprocess.py:93} INFO - INFO:root:Fetching beedrill from https://pokeapi.co/api/v2/pokemon/15/
[2026-03-31T15:42:23.998+0000] {subprocess.py:93} INFO - INFO:root:Fetching pidgey from https://pokeapi.co/api/v2/pokemon/16/
[2026-03-31T15:42:24.001+0000] {subprocess.py:93} INFO - INFO:root:Fetching pidgeotto from https://pokeapi.co/api/v2/pokemon/17/
[2026-03-31T15:42:24.002+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.005+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.012+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.016+0000] {subprocess.py:93} INFO - INFO:root:Fetching pidgeot from https://pokeapi.co/api/v2/pokemon/18/
[2026-03-31T15:42:24.017+0000] {subprocess.py:93} INFO - INFO:root:Fetching rattata from https://pokeapi.co/api/v2/pokemon/19/
[2026-03-31T15:42:24.019+0000] {subprocess.py:93} INFO - INFO:root:Fetching raticate from https://pokeapi.co/api/v2/pokemon/20/
[2026-03-31T15:42:24.201+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.203+0000] {subprocess.py:93} INFO - INFO:root:Fetching spearow from https://pokeapi.co/api/v2/pokemon/21/
[2026-03-31T15:42:24.204+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.206+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
